lat_grid,lon_grid,pickup_count,month
40.716,-74.009,322,July
40.762,-73.971,322,April
40.643,-73.789,322,July
40.719,-74,322,July
40.741,-73.988,322,July
40.732,-74.003,322,July
40.724,-73.992,322,August
40.774,-73.963,322,August
40.768,-73.983,322,August
40.758,-73.971,321,August
40.722,-74.001,321,August
40.702,-73.99,321,July
40.735,-73.994,321,April
40.742,-74.007,320,April
40.727,-74.007,320,April
40.746,-73.984,320,April
40.721,-73.998,320,April
40.746,-74.005,320,July
40.725,-74.002,320,July
40.755,-73.972,320,July
40.771,-73.957,320,August
40.729,-73.989,320,August
40.765,-73.98,320,August
40.649,-73.783,319,August
40.741,-73.992,319,August
40.775,-73.954,319,August
40.762,-73.968,319,August
40.742,-73.994,319,July
40.744,-73.98,319,July
40.753,-73.987,319,July
40.745,-74.008,319,April
40.717,-74.012,318,April
40.726,-74.001,318,April
40.756,-73.986,318,April
40.75,-74.003,318,April
40.755,-73.983,318,July
40.743,-73.986,318,August
40.763,-73.971,318,August
40.758,-73.974,318,August
40.755,-73.972,318,August
40.702,-73.99,318,August
40.762,-73.983,318,August
40.708,-74.005,318,August
40.75,-73.981,317,August
40.728,-73.982,317,August
40.754,-73.992,317,August
40.744,-73.996,317,August
40.743,-73.996,317,August
40.725,-73.993,317,August
40.743,-74,317,August
40.727,-73.983,317,July
40.744,-73.99,317,April
40.725,-73.993,317,July
40.755,-73.979,316,July
40.711,-74.009,316,July
40.751,-73.975,316,July
40.737,-74.004,316,April
40.773,-73.885,316,April
40.727,-73.996,316,April
40.748,-73.993,316,April
40.75,-73.972,316,August
40.749,-73.984,316,August
40.772,-73.956,316,August
40.751,-73.98,316,August
40.742,-73.994,315,August
40.742,-74.007,315,August
40.743,-73.989,315,August
40.723,-73.988,315,August
40.721,-73.956,315,August
40.643,-73.789,315,August
40.748,-73.988,315,July
40.777,-73.952,315,July
40.759,-73.996,315,July
40.727,-74.003,315,July
40.761,-73.97,315,July
40.761,-73.972,314,July
40.738,-73.985,314,July
40.73,-74.001,314,July
40.742,-74.001,314,August
40.724,-74.004,314,August
40.725,-74,314,August
40.692,-73.984,314,August
40.758,-73.977,313,August
40.739,-73.985,313,August
40.719,-74,313,August
40.771,-73.957,313,July
40.772,-73.982,313,July
40.739,-73.987,313,April
40.705,-74.007,313,April
40.723,-73.996,313,April
40.726,-74.008,313,July
40.732,-73.997,313,July
40.725,-74.004,313,July
40.738,-74,313,July
40.763,-73.973,313,July
40.735,-73.991,312,July
40.757,-73.973,312,July
40.715,-74.014,312,July
40.755,-73.992,312,July
40.72,-74.001,312,July
40.727,-73.98,312,April
40.754,-73.972,312,April
40.725,-73.993,312,April
40.728,-74.002,312,August
40.746,-73.972,312,August
40.736,-73.979,312,August
40.727,-74.003,312,August
40.735,-74.006,311,August
40.726,-74.005,311,August
40.74,-74.005,311,April
40.762,-73.986,311,April
40.762,-73.978,311,July
40.745,-73.993,311,July
40.722,-73.994,311,July
40.713,-74.009,311,July
40.736,-73.998,311,July
40.735,-73.994,311,July
40.756,-73.986,310,July
40.756,-73.985,310,April
40.726,-73.998,310,April
40.76,-73.979,310,July
40.777,-73.989,310,July
40.764,-73.954,310,July
40.736,-74.004,310,August
40.753,-73.984,310,August
40.762,-73.966,310,August
40.746,-74.005,310,August
40.726,-73.99,310,August
40.742,-73.983,310,August
40.745,-73.981,310,August
40.722,-73.999,310,August
40.745,-73.844,310,August
40.736,-73.998,309,August
40.768,-73.863,309,August
40.739,-74.006,309,August
40.736,-74.008,309,August
40.745,-73.979,309,August
40.737,-73.979,309,July
40.743,-73.996,309,July
40.747,-74.008,309,July
40.759,-73.97,309,July
40.737,-74.004,309,July
40.754,-73.992,309,April
40.708,-74.008,309,April
40.721,-74.002,308,April
40.755,-73.977,308,April
40.741,-73.986,308,April
40.759,-73.987,308,April
40.75,-74.005,308,April
40.722,-73.995,308,July
40.745,-73.986,308,July
40.724,-73.979,308,July
40.721,-74.002,308,July
40.731,-73.993,308,August
40.757,-73.985,308,August
40.758,-73.979,307,August
40.74,-74.003,307,July
40.733,-73.991,307,July
40.73,-73.987,307,July
40.757,-73.979,307,April
40.718,-74.015,307,April
40.718,-74.007,307,April
40.726,-74.004,307,April
40.724,-74.001,306,April
40.753,-73.973,306,April
40.729,-74.001,306,July
40.745,-74.006,306,August
40.749,-73.977,306,August
40.759,-73.971,305,August
40.759,-73.979,305,August
40.697,-73.983,305,August
40.73,-73.994,305,July
40.732,-73.988,305,July
40.732,-74.002,305,July
40.708,-74.01,305,April
40.762,-73.984,304,April
40.748,-74.004,304,April
40.72,-74.004,304,July
40.762,-73.969,304,July
40.721,-73.956,304,July
40.737,-74.008,304,August
40.761,-73.976,304,August
40.733,-74,304,August
40.761,-73.974,303,August
40.769,-73.983,303,August
40.721,-73.999,303,August
40.737,-74.008,303,July
40.722,-74.011,303,July
40.746,-73.989,303,July
40.742,-73.995,303,July
40.765,-73.972,303,July
40.753,-73.975,303,April
40.733,-73.993,303,April
40.755,-73.978,303,April
40.76,-73.982,303,April
40.723,-73.989,303,July
40.748,-74.006,302,July
40.729,-74.003,302,July
40.743,-73.995,302,July
40.708,-74.006,302,April
40.735,-74.001,302,April
40.736,-73.994,302,April
40.752,-73.99,302,April
40.729,-74.002,302,April
40.727,-73.995,302,April
40.764,-73.989,302,August
40.74,-73.986,302,August
40.739,-74.007,301,August
40.703,-73.99,301,August
40.763,-73.968,301,August
40.758,-73.972,301,August
40.735,-74.01,301,August
40.744,-73.99,301,August
40.739,-73.988,301,August
40.716,-74.012,301,August
40.757,-73.979,301,August
40.758,-73.969,301,August
40.739,-74.006,301,April
40.762,-73.982,301,April
40.74,-73.996,301,April
40.705,-74.017,301,July
40.735,-73.998,301,July
40.739,-73.985,300,July
40.733,-73.988,300,July
40.742,-73.975,300,July
40.745,-73.976,300,July
40.752,-73.98,300,April
40.724,-73.994,300,April
40.749,-73.98,300,April
40.731,-73.983,300,July
40.75,-73.975,300,July
40.75,-73.972,300,July
40.776,-73.956,299,July
40.747,-73.992,299,July
40.757,-73.986,299,April
40.72,-74.005,299,April
40.74,-74.007,299,April
40.726,-74.007,299,April
40.742,-73.99,299,April
40.737,-74.002,299,August
40.722,-74.002,299,August
40.758,-73.986,299,August
40.719,-73.997,299,August
40.731,-73.995,299,August
40.751,-73.982,298,August
40.759,-73.978,298,August
40.743,-73.994,298,August
40.759,-73.988,298,August
40.722,-73.995,298,August
40.728,-74.005,298,August
40.758,-73.993,298,August
40.734,-73.981,298,August
40.718,-74.003,298,April
40.757,-73.99,298,April
40.728,-73.994,298,April
40.76,-73.995,298,July
40.695,-74.179,298,July
40.779,-73.962,298,July
40.772,-73.983,297,July
40.764,-73.98,297,July
40.716,-74.011,297,July
40.724,-73.992,297,July
40.739,-73.988,297,April
40.743,-73.993,297,April
40.722,-73.996,297,April
40.756,-73.978,297,April
40.765,-73.977,297,April
40.706,-74.01,297,April
40.756,-73.968,297,August
40.749,-74.006,297,August
40.734,-74.008,297,August
40.735,-73.99,297,August
40.742,-73.999,297,August
40.734,-74.001,297,August
40.72,-74.002,297,August
40.723,-73.989,297,August
40.76,-73.984,296,August
40.757,-73.969,296,August
40.745,-73.986,296,August
40.752,-73.974,296,August
40.724,-74.004,296,April
40.716,-74.012,296,April
40.736,-74.001,296,April
40.728,-74.002,296,July
40.774,-73.964,296,July
40.772,-73.956,295,July
40.752,-73.995,295,July
40.759,-73.98,295,July
40.724,-74.003,295,April
40.734,-74.008,295,April
40.753,-73.986,295,August
